Timestamp,Battery_1,Battery_2,Battery_3,Battery_4,Battery_5,Battery_6,Battery_7,Battery_8,Battery_9,Battery_10,Battery_11,Battery_12,Temperature_1,Temperature_2,Temperature_3,Temperature_4,Total_Voltage,Current,SOC,Max_Cell_Voltage
2025-06-10 22:57:36.086,3.867,3.868,3.868,3.868,3.869,3.871,3.866,3.869,3.865,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.871
2025-06-10 22:57:36.306,3.866,3.87,3.869,3.868,3.868,3.87,3.865,3.867,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.87
2025-06-10 22:57:36.526,3.867,3.867,3.868,3.868,3.869,3.87,3.865,3.868,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.87
2025-06-10 22:57:36.746,3.867,3.867,3.868,3.868,3.869,3.87,3.865,3.868,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.87
2025-06-10 22:57:36.962,3.867,3.868,3.868,3.869,3.868,3.87,3.865,3.869,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.87
2025-06-10 22:57:37.176,3.867,3.868,3.868,3.868,3.871,3.871,3.866,3.868,3.865,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.871
2025-06-10 22:57:37.396,3.867,3.868,3.869,3.868,3.869,3.87,3.867,3.869,3.865,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.87
2025-06-10 22:57:37.616,3.867,3.868,3.869,3.868,3.871,3.87,3.865,3.869,3.865,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.871
2025-06-10 22:57:37.836,3.867,3.868,3.869,3.868,3.869,3.871,3.865,3.869,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.871
2025-06-10 22:57:38.052,3.868,3.868,3.87,3.869,3.869,3.87,3.867,3.869,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.87
2025-06-10 22:57:38.262,3.868,3.868,3.87,3.869,3.869,3.87,3.867,3.869,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.87
2025-06-10 22:57:38.476,3.868,3.868,3.868,3.868,3.868,3.871,3.865,3.869,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.871
2025-06-10 22:57:38.696,3.867,3.868,3.868,3.868,3.87,3.871,3.866,3.869,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.871
2025-06-10 22:57:38.916,3.87,3.869,3.868,3.869,3.869,3.871,3.867,3.869,3.867,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.871
2025-06-10 22:57:39.132,3.867,3.87,3.868,3.868,3.869,3.871,3.866,3.869,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.871
2025-06-10 22:57:39.346,3.866,3.87,3.868,3.869,3.868,3.87,3.866,3.869,3.867,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.87
2025-06-10 22:57:39.566,3.867,3.868,3.868,3.867,3.87,3.871,3.865,3.869,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.871
2025-06-10 22:57:39.782,3.867,3.868,3.868,3.868,3.867,3.871,3.865,3.869,3.865,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.871
2025-06-10 22:57:39.996,3.868,3.868,3.868,3.868,3.869,3.87,3.867,3.869,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.87
2025-06-10 22:57:40.216,3.868,3.868,3.868,3.868,3.869,3.87,3.867,3.869,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.87
2025-06-10 22:57:40.436,3.867,3.868,3.869,3.869,3.868,3.87,3.866,3.869,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.87
2025-06-10 22:57:40.656,3.867,3.869,3.869,3.868,3.869,3.871,3.866,3.869,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.871
2025-06-10 22:57:40.876,3.867,3.868,3.868,3.869,3.868,3.872,3.866,3.869,3.865,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.872
2025-06-10 22:57:41.096,3.87,3.869,3.869,3.868,3.869,3.871,3.867,3.867,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.871
2025-06-10 22:57:41.312,3.867,3.868,3.868,3.87,3.868,3.871,3.866,3.868,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.871
2025-06-10 22:57:41.526,3.868,3.87,3.868,3.869,3.868,3.871,3.865,3.868,3.865,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.871
2025-06-10 22:57:41.746,3.868,3.87,3.868,3.869,3.868,3.871,3.865,3.868,3.865,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.871
2025-06-10 22:57:41.966,3.866,3.87,3.868,3.869,3.869,3.87,3.865,3.869,3.865,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.87
2025-06-10 22:57:42.186,3.868,3.869,3.869,3.869,3.868,3.871,3.865,3.869,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.871
2025-06-10 22:57:42.402,3.867,3.868,3.869,3.868,3.867,3.87,3.865,3.869,3.865,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.87
2025-06-10 22:57:42.612,3.867,3.868,3.869,3.869,3.869,3.871,3.865,3.869,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.871
2025-06-10 22:57:42.822,3.868,3.869,3.869,3.869,3.868,3.872,3.866,3.869,3.865,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.872
2025-06-10 22:57:43.032,3.868,3.867,3.868,3.869,3.868,3.87,3.866,3.869,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.87
2025-06-10 22:57:43.242,3.868,3.867,3.868,3.869,3.868,3.87,3.866,3.869,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.87
2025-06-10 22:57:43.452,3.867,3.868,3.868,3.868,3.87,3.871,3.866,3.869,3.866,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.871
2025-06-10 22:57:43.662,3.867,3.867,3.868,3.867,3.868,3.871,3.866,3.869,3.865,0.0,0.0,0.0,25,25,-40,-40,34.800000000000004,0.0,0.89,3.871
